rank,title,original_title,people_info,year,country_text,genre_text,rating,rating_count,quote,detail_url,source_url,fetched_at,decade
61,辩护人,변호인,导演: 杨宇硕 Woo-seok Yang 主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013,韩国,剧情,9.2,660591,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,2010
62,本杰明·巴顿奇事,The Curious Case of Benjamin Button,导演: 大卫·芬奇 David Fincher 主演: 布拉德·皮特 Brad Pitt / 凯特·布...,2008,美国,剧情 / 爱情 / 奇幻,9.0,1110555,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,2000
63,搏击俱乐部,Fight Club,导演: 大卫·芬奇 David Fincher 主演: 爱德华·诺顿 Edward Norton / 布拉...,1999,美国,剧情 / 动作 / 悬疑 / 惊悚,9.0,982106,,https://movie.douban.com/subject/1292000/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,1990
64,美丽心灵,A Beautiful Mind,导演: 朗·霍华德 Ron Howard 主演: 罗素·克劳 Russell Crowe / 艾德·哈...,2001,美国,传记 / 剧情,9.1,856956,,https://movie.douban.com/subject/1306029/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,2000
65,穿条纹睡衣的男孩,The Boy in the Striped Pajamas,导演: 马克·赫尔曼 Mark Herman 主演: 阿萨·巴特菲尔德 Asa Butterfield ...,2008,英国 / 美国,剧情 / 战争,9.2,645090,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,2000
66,哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,导演: 大卫·叶茨 David Yates 主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,2011,美国 / 英国,奇幻 / 冒险,9.0,976352,10年的完美句点。,https://movie.douban.com/subject/3011235/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,2010
67,两杆大烟枪,"Lock, Stock and Two Smoking Barrels",导演: 盖·里奇 Guy Ritchie 主演: 杰森·弗莱明 Jason Flemyng / 德克斯特...,1998,英国,剧情 / 喜剧 / 犯罪,9.1,682108,,https://movie.douban.com/subject/1293350/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,1990
68,情书,Love Letter,导演: 岩井俊二 Shunji Iwai 主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995,日本,剧情 / 爱情,8.9,1333804,,https://movie.douban.com/subject/1292220/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,1990
69,窃听风暴,Das Leben der Anderen,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck &n...,2006,德国,剧情 / 悬疑,9.2,635216,别样人生。,https://movie.douban.com/subject/1900841/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,2000
70,功夫,,导演: 周星驰 Stephen Chow 主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004,中国大陆 / 中国香港,动作 / 喜剧 / 犯罪 / 奇幻,8.9,1345471,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://movie.douban.com/subject/1291543/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,2000
71,音乐之声,The Sound of Music,导演: 罗伯特·怀斯 Robert Wise 主演: 朱莉·安德鲁斯 Julie Andrews / 克...,1965,美国,剧情 / 传记 / 爱情 / 歌舞,9.1,687832,,https://movie.douban.com/subject/1294408/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,1960
72,哈利·波特与阿兹卡班的囚徒,Harry Potter and the Prisoner of Azkaban,导演: 阿方索·卡隆 Alfonso Cuarón 主演: 丹尼尔·雷德克里夫 Daniel Rad...,2004,英国 / 美国,奇幻 / 冒险,9.0,897169,不一样的导演，不一样的哈利·波特。,https://movie.douban.com/subject/1291544/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,2000
73,阿凡达,Avatar,导演: 詹姆斯·卡梅隆 James Cameron 主演: 萨姆·沃辛顿 Sam Worthington ...,2009,美国,动作 / 科幻 / 冒险,8.8,1593283,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,2000
74,西西里的美丽传说,Malèna,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore 主演: 莫妮卡·贝鲁奇 Monica ...,2000,意大利 / 美国,剧情 / 战争 / 情色,8.9,1098421,,https://movie.douban.com/subject/1292402/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,2000
75,看不见的客人,Contratiempo,导演: 奥里奥尔·保罗 Oriol Paulo 主演: 马里奥·卡萨斯 Mario Casas / 阿...,2016,西班牙,剧情 / 犯罪 / 悬疑 / 惊悚,8.8,1448740,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,2010
76,拯救大兵瑞恩,Saving Private Ryan,导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 汤姆·汉克斯 Tom Hanks...,1998,美国,剧情 / 战争,9.1,729323,,https://movie.douban.com/subject/1292849/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,1990
77,沉默的羔羊,The Silence of the Lambs,导演: 乔纳森·戴米 Jonathan Demme 主演: 朱迪·福斯特 Jodie Foster / 安...,1991,美国,剧情 / 犯罪 / 惊悚,8.9,1022239,,https://movie.douban.com/subject/1293544/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,1990
